age,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,physical_activity_hours_per_week,caffeine_mg,mindfulness_minutes_per_day,mental_health_score,mood_rating,stress_level,uses_wellness_apps,eats_healthy,gender_Male,gender_Other,location_type_Suburban,location_type_Urban,sleep_quality
38,1.0,1.0,0.0,0.0,1.0,2.4,2.9,2.4,1.6,4.9,133.5,22.7,83.0,7.6,3,1,0,True,False,True,False,5.0
67,7.2,1.7,2.3,1.1,2.9,3.9,4.1,1.9,0.9,0.0,162.2,17.0,57.0,4.6,7,0,1,True,False,True,False,3.0
50,4.4,2.5,0.9,1.0,1.0,2.3,3.0,1.8,1.6,4.1,141.6,34.5,74.0,8.5,3,1,0,True,False,True,False,4.0
54,3.7,2.6,0.2,1.5,0.7,4.5,4.0,2.3,0.5,0.0,120.3,6.8,41.0,1.0,9,0,0,True,False,False,True,4.0
38,5.8,2.1,1.9,1.0,2.1,3.8,3.8,1.9,1.6,4.6,183.4,13.0,58.0,3.7,6,1,1,False,False,True,False,4.0
17,3.2,1.2,0.0,0.5,1.1,4.5,4.1,1.1,1.0,0.0,130.3,9.9,43.0,1.0,10,0,0,True,False,True,False,4.0
36,7.6,3.6,1.9,0.9,2.0,4.5,3.8,1.7,1.6,0.1,209.2,8.9,43.0,1.0,9,0,0,False,False,True,False,3.0
67,2.2,1.0,0.3,0.6,1.4,1.9,2.9,2.2,1.7,2.4,190.6,25.3,76.0,7.0,3,0,1,False,False,False,False,4.0
16,5.3,3.2,0.0,0.4,0.6,4.5,4.2,0.8,1.6,0.0,203.5,6.5,49.0,1.9,10,0,1,True,False,False,False,3.0
38,5.1,2.7,1.6,0.3,0.7,4.5,3.8,1.3,1.0,0.0,129.8,17.6,60.0,1.0,8,0,0,True,False,False,False,4.0
58,3.3,3.2,1.3,0.0,0.0,2.2,2.9,1.6,2.1,4.5,124.0,26.1,71.0,8.2,3,1,1,False,True,True,False,4.0
44,4.3,1.6,3.1,0.2,0.3,3.5,3.5,1.1,1.6,0.0,121.4,16.2,58.0,3.8,6,0,1,False,False,True,False,4.0
52,4.0,1.9,0.1,0.6,2.0,1.3,2.4,2.8,2.5,4.3,209.0,32.4,79.0,8.7,2,0,1,False,False,False,False,4.0
16,8.4,2.0,3.0,0.0,2.6,4.1,3.6,2.3,1.2,2.9,52.9,21.4,61.0,2.8,7,1,0,True,False,False,False,3.0
74,1.8,1.6,0.2,0.3,0.8,1.2,1.6,2.2,3.0,5.3,140.6,41.3,88.0,9.5,1,1,1,False,False,False,False,4.0
35,5.0,2.2,2.5,1.2,0.0,4.1,4.0,1.5,0.1,0.4,101.4,22.5,67.0,2.2,7,0,1,False,False,True,False,5.0
47,9.6,3.4,2.7,1.4,2.5,4.5,3.7,0.8,1.4,0.0,206.2,14.6,57.0,1.0,10,0,0,False,False,False,False,3.0
26,5.9,0.8,1.9,0.3,2.6,4.5,4.0,1.9,0.9,0.4,232.7,14.6,51.0,1.5,9,0,0,False,True,False,True,5.0
72,3.2,1.4,0.6,0.3,2.1,2.1,2.9,2.2,1.6,2.5,164.9,15.4,76.0,8.2,3,0,0,True,False,False,False,5.0
36,1.0,1.3,0.0,0.2,0.0,2.3,3.1,2.4,1.8,5.1,51.7,12.4,75.0,7.4,3,1,1,True,False,False,True,5.0
58,3.0,1.9,0.0,0.3,1.9,2.2,2.9,2.7,1.8,3.5,176.3,22.8,82.0,8.4,3,0,1,False,False,False,True,5.0
39,7.2,1.9,3.5,1.3,2.0,4.1,4.3,1.4,1.7,2.3,58.3,19.2,58.0,2.0,7,0,0,False,False,True,False,4.0
63,6.8,2.7,1.2,1.6,2.3,4.5,4.4,1.8,0.7,0.0,180.1,11.6,54.0,2.8,8,1,0,True,False,True,False,4.0
41,2.9,2.0,0.3,0.0,1.6,4.3,3.8,1.8,1.3,0.9,143.2,19.3,62.0,2.7,7,0,0,True,False,False,True,5.0
73,2.2,2.3,0.2,0.1,0.6,0.4,1.2,2.7,2.9,5.8,229.3,20.8,84.0,10.0,1,0,1,True,False,False,True,5.0
56,3.7,2.4,1.7,0.0,1.0,1.5,2.5,2.3,2.3,5.2,29.5,26.0,89.0,6.6,2,1,0,True,False,False,True,5.0
42,5.6,2.2,1.1,0.6,2.6,4.5,3.8,2.0,0.8,2.0,98.0,13.6,55.0,2.2,8,0,0,False,False,False,False,5.0
74,3.5,2.6,0.0,0.3,1.8,2.7,3.3,1.7,1.7,5.5,66.9,26.5,79.0,5.5,4,0,1,False,False,True,False,4.0
30,4.9,1.9,2.5,0.8,0.1,3.6,3.3,1.6,1.1,2.5,113.9,23.2,65.0,4.0,5,0,0,True,False,False,True,4.0
29,9.1,3.5,1.9,1.0,3.1,4.5,3.7,1.3,0.8,1.0,174.8,9.4,39.0,1.3,10,0,1,True,False,False,True,4.0
61,10.0,4.3,3.5,0.9,2.6,4.5,4.1,0.1,1.5,0.8,34.3,7.0,45.0,1.0,10,0,1,True,False,False,True,2.0
65,7.3,2.6,2.8,0.0,3.1,2.7,3.4,1.3,2.4,4.6,66.3,27.5,73.0,5.4,4,0,0,True,False,False,True,3.0
58,4.6,2.2,0.0,0.6,2.5,4.4,3.8,1.4,1.0,1.4,161.3,16.2,63.0,1.8,8,1,1,False,False,True,False,4.0
69,5.2,2.6,3.1,0.0,0.5,2.6,3.5,1.5,1.2,6.1,179.3,12.6,84.0,5.5,4,1,0,False,True,False,True,4.0
66,6.2,1.0,2.8,1.6,1.7,4.4,3.5,1.5,1.5,2.6,181.4,13.6,60.0,2.4,8,0,1,False,False,False,True,4.0
71,4.3,2.2,0.7,0.4,2.0,2.1,2.9,2.2,2.3,3.0,173.0,26.2,64.0,6.8,3,0,1,True,False,True,False,4.0
17,3.1,1.3,1.0,0.0,0.1,3.7,3.8,1.4,1.6,3.4,146.0,25.4,69.0,3.5,6,1,1,False,False,False,True,5.0
51,4.1,2.5,2.0,0.3,0.2,1.7,2.1,2.5,2.3,4.4,215.2,33.4,76.0,9.0,2,0,0,False,False,False,True,4.0
65,3.4,1.3,0.4,0.7,2.1,2.9,3.5,2.4,2.1,2.9,241.2,12.3,72.0,5.9,4,0,0,False,False,False,True,5.0
21,6.8,1.7,1.2,1.0,2.2,2.8,3.6,1.6,1.6,4.5,9.6,30.0,66.0,6.5,4,1,1,True,False,True,False,4.0
35,7.3,0.3,2.6,1.4,3.8,4.5,4.0,0.4,0.8,0.0,187.3,8.4,46.0,1.0,10,1,0,True,False,True,False,4.0
23,5.7,0.9,2.1,0.6,1.1,4.5,3.8,1.1,0.6,0.0,156.6,14.0,48.0,1.0,10,0,0,True,False,False,True,5.0
53,2.6,2.3,0.8,0.4,0.0,0.8,1.1,2.7,2.7,7.6,133.5,24.7,89.0,8.6,1,1,0,True,False,True,False,5.0
32,5.6,1.2,2.6,1.0,1.2,4.1,3.9,2.9,1.8,1.7,152.1,21.9,60.0,4.3,7,0,0,True,False,True,False,4.0
18,9.0,3.0,1.8,1.0,2.2,3.1,3.5,1.3,1.7,4.9,196.8,14.9,63.0,5.7,5,1,0,True,False,False,True,3.0
39,3.5,1.1,1.8,0.7,1.0,2.6,3.4,1.9,1.4,2.2,131.1,21.5,61.0,4.0,4,0,1,False,False,True,False,4.0
74,5.1,2.4,0.9,1.1,1.5,3.7,4.0,1.6,1.1,2.1,95.2,19.6,53.0,4.5,6,1,0,False,False,False,True,3.0
28,3.6,1.3,1.5,0.2,0.8,1.1,1.4,3.0,3.3,3.7,92.0,27.9,75.0,10.0,1,1,0,True,False,True,False,5.0
64,5.0,2.3,0.6,0.6,2.6,3.5,3.8,1.5,1.3,1.3,171.6,14.9,62.0,3.6,7,0,1,True,False,False,True,5.0
72,1.4,0.6,0.0,0.0,2.1,1.0,1.4,3.2,2.9,8.1,196.2,18.1,91.0,7.9,1,1,1,False,False,False,True,5.0
23,5.5,1.6,1.2,1.4,0.6,4.5,4.0,0.7,1.0,2.0,113.5,13.9,53.0,1.0,10,0,1,False,False,False,False,4.0
40,2.7,1.2,1.4,0.3,0.9,2.4,3.5,2.8,1.4,1.6,76.5,22.2,61.0,6.5,4,0,0,False,False,False,True,4.0
67,5.8,2.8,1.7,1.4,0.7,1.6,2.4,2.1,3.3,4.0,0.0,34.7,74.0,7.2,2,0,0,False,True,True,False,4.0
16,6.3,2.4,2.8,0.2,0.0,3.5,4.2,1.2,1.0,4.6,221.2,18.2,61.0,4.2,6,0,1,False,False,False,True,3.0
34,2.2,0.9,0.8,0.8,0.6,1.5,2.4,1.8,3.0,3.0,81.4,25.9,79.0,9.3,2,0,0,False,True,True,False,5.0
42,2.3,1.8,1.1,0.6,0.0,2.2,3.2,3.1,2.1,7.3,144.4,13.9,81.0,7.5,3,0,0,True,False,True,False,4.0
61,5.4,1.3,2.3,0.2,2.3,4.5,3.7,1.5,0.5,1.0,134.6,6.5,56.0,1.0,9,1,0,True,False,False,False,4.0
74,5.8,2.9,0.7,0.9,2.4,4.4,4.1,2.0,1.2,1.3,142.6,13.4,55.0,3.5,8,0,0,True,False,False,True,4.0
21,8.3,3.1,1.7,1.4,1.1,4.5,3.9,1.1,1.8,0.0,230.4,6.8,66.0,1.0,9,0,0,True,False,False,True,4.0
58,3.9,0.7,1.1,1.7,1.6,2.0,3.1,1.9,2.0,3.0,169.5,24.2,78.0,7.3,3,0,0,True,False,False,False,4.0
22,8.3,2.7,1.2,1.0,2.5,4.1,3.9,2.3,0.9,2.0,191.2,12.1,55.0,1.4,7,0,1,False,False,False,False,3.0
61,4.8,1.3,2.3,0.0,2.2,3.7,3.1,1.8,1.2,0.8,116.9,20.6,60.0,2.8,6,0,0,False,False,True,False,5.0
49,5.5,1.8,1.1,0.0,3.4,3.2,4.0,2.5,0.9,4.0,158.1,17.7,72.0,4.3,5,0,0,False,False,False,False,4.0
28,6.9,2.0,2.4,1.3,1.7,1.4,2.1,3.5,2.2,4.9,112.6,21.3,75.0,8.6,2,1,1,True,False,False,True,3.0
31,5.7,3.6,0.0,0.0,2.9,3.9,3.6,1.8,1.6,3.8,60.2,23.5,59.0,3.4,7,0,1,False,False,False,False,4.0
50,2.7,1.1,0.0,1.0,1.5,0.9,1.2,3.1,2.6,6.0,149.4,30.0,82.0,8.8,1,1,1,False,False,False,False,4.0
64,3.5,2.8,0.0,0.7,1.3,2.4,3.2,0.9,1.2,2.8,78.5,13.6,71.0,7.0,4,0,0,True,False,True,False,4.0
54,3.9,0.9,0.2,1.4,2.1,1.6,2.2,2.7,2.3,3.5,48.7,34.6,81.0,8.0,2,1,1,False,False,False,False,5.0
18,8.2,0.9,3.5,0.9,2.0,4.5,4.0,0.6,1.1,0.0,148.1,13.6,36.0,1.0,10,0,1,True,False,True,False,3.0
16,5.7,2.0,1.5,0.6,0.8,4.3,4.0,1.6,1.0,2.9,175.8,20.0,55.0,3.3,8,0,1,True,False,False,True,4.0
20,5.6,2.0,0.7,1.8,0.6,4.5,3.9,0.8,1.7,0.8,230.2,5.1,53.0,1.0,10,1,1,False,False,False,True,3.0
68,4.1,0.2,2.4,1.1,1.5,2.6,3.4,1.7,2.7,3.1,155.6,27.7,82.0,5.3,4,0,1,True,False,False,True,4.0
56,5.3,3.0,2.5,0.9,0.0,4.5,3.9,1.9,1.2,0.0,249.5,15.2,49.0,1.0,9,0,0,True,False,False,False,3.0
18,2.6,0.2,0.2,0.2,1.1,4.1,3.8,1.7,1.6,0.9,207.4,10.9,59.0,3.0,7,1,0,False,False,True,False,4.0
68,5.5,1.9,4.2,0.0,0.4,4.0,3.9,1.1,1.3,1.0,184.4,17.8,63.0,5.4,6,0,0,False,False,False,True,5.0
43,5.5,3.2,1.8,0.4,0.8,1.2,2.7,2.6,1.7,4.1,171.8,24.1,87.0,8.4,2,0,1,True,False,False,True,5.0
32,6.0,4.0,1.9,0.0,0.6,4.0,3.9,1.4,0.4,4.8,77.2,11.0,64.0,4.4,6,0,0,True,False,False,False,4.0
40,5.1,1.7,2.0,0.4,2.2,2.2,3.5,2.5,1.9,4.9,115.3,35.6,82.0,8.0,3,1,1,True,False,False,True,4.0
58,4.5,0.7,2.0,1.1,1.8,2.2,2.4,1.9,1.7,3.7,249.4,29.7,81.0,8.6,3,1,0,False,False,True,False,4.0
48,5.5,3.2,0.8,1.2,1.5,3.9,3.8,1.9,0.7,1.0,202.4,9.9,64.0,3.5,7,0,0,True,False,True,False,4.0
24,8.2,2.8,3.8,0.4,1.0,4.5,3.8,1.0,0.5,0.0,92.6,10.6,45.0,1.0,10,0,0,True,False,False,True,3.0
50,6.2,1.6,1.2,2.4,2.4,4.5,4.2,1.8,1.8,2.3,138.3,14.3,61.0,2.0,8,1,1,False,False,False,True,5.0
28,7.8,1.4,2.6,1.4,2.3,4.5,4.1,0.8,1.8,0.0,171.8,11.9,56.0,1.4,9,0,0,False,False,False,True,3.0
45,3.6,1.4,1.0,0.6,1.3,2.1,3.0,1.9,2.3,2.5,72.5,24.0,76.0,8.0,3,0,1,True,False,False,True,4.0
62,5.4,1.7,0.8,1.3,2.8,4.5,4.1,1.8,0.7,0.0,189.0,7.5,45.0,1.5,8,1,0,False,False,False,True,4.0
29,6.9,2.3,3.6,0.3,1.2,4.1,4.2,1.4,1.3,6.7,169.7,18.5,65.0,3.0,7,1,1,False,False,False,False,3.0
22,6.0,1.5,1.4,0.8,1.6,3.6,3.7,2.0,1.2,4.7,144.7,21.6,58.0,2.4,7,1,1,True,False,False,True,3.0
28,4.0,1.6,1.5,0.4,0.8,1.8,2.2,2.5,2.7,5.1,157.8,33.7,84.0,8.7,2,1,0,True,False,False,False,5.0
37,4.7,2.6,1.8,0.0,1.0,4.3,3.8,2.2,0.9,2.0,128.2,11.5,61.0,2.9,7,0,1,False,False,False,True,4.0
74,5.6,0.7,4.4,0.9,0.8,1.4,2.4,2.0,1.8,5.8,247.0,22.6,78.0,8.4,2,0,0,True,False,False,False,5.0
71,6.8,1.7,3.9,0.6,2.1,2.1,3.1,2.7,2.0,3.5,201.3,30.8,78.0,5.0,3,1,0,False,False,False,False,4.0
54,4.8,0.5,2.9,0.6,1.8,4.5,4.0,1.2,1.0,0.2,153.8,13.8,51.0,1.0,9,0,0,True,False,False,True,4.0
35,6.5,2.1,4.6,0.6,0.3,3.6,3.7,1.5,1.5,3.5,171.2,25.5,70.0,5.8,5,0,1,True,False,False,True,5.0
30,2.6,0.3,0.5,0.1,2.0,1.5,2.5,2.5,2.0,3.8,22.8,34.4,79.0,7.2,2,0,0,True,False,False,True,5.0
59,8.7,2.8,2.2,1.6,3.2,3.8,3.9,1.8,1.1,4.3,125.2,25.6,66.0,3.0,6,1,1,True,False,True,False,4.0
32,3.3,0.8,1.6,0.7,0.7,1.1,1.2,1.8,2.9,6.1,119.8,17.4,85.0,8.1,1,0,1,True,False,False,True,4.0
61,1.0,0.4,0.0,0.4,0.7,1.0,1.4,2.5,2.7,6.1,13.8,19.8,89.0,9.2,1,1,1,True,False,False,True,5.0
67,4.2,1.7,2.0,0.0,1.4,3.3,3.6,0.8,1.7,2.3,183.5,29.4,68.0,4.5,5,0,1,False,False,False,True,5.0
38,7.7,3.5,1.0,1.4,2.8,4.5,4.0,0.8,0.5,1.2,183.8,14.0,52.0,1.0,10,0,1,False,True,False,True,4.0
40,7.0,2.6,3.2,1.2,1.0,4.5,4.4,0.8,1.5,0.2,84.2,10.4,51.0,1.0,10,0,1,False,False,False,True,3.0
39,3.9,0.3,1.1,0.6,3.2,2.4,2.8,2.4,1.7,8.4,47.2,26.5,90.0,7.7,3,0,1,False,False,False,True,5.0
74,1.2,0.8,1.0,0.0,0.3,0.8,1.3,3.1,2.9,5.0,118.9,18.9,80.0,8.6,1,0,1,True,False,True,False,5.0
74,7.2,1.6,3.2,1.6,1.6,3.6,3.8,1.4,1.3,2.8,82.5,14.1,60.0,3.7,6,0,1,False,True,True,False,4.0
74,4.9,4.0,1.4,0.4,0.0,4.5,4.2,0.9,0.6,0.0,141.7,12.3,48.0,1.2,8,0,1,True,False,False,True,4.0
59,3.6,1.2,2.8,0.2,0.5,1.1,1.8,2.6,2.3,3.9,116.5,23.3,81.0,9.4,1,1,0,False,False,False,True,5.0
55,4.1,1.2,2.0,0.6,1.2,3.0,3.6,1.0,1.5,1.9,108.2,27.8,73.0,7.8,4,0,0,False,True,False,True,4.0
43,7.0,3.4,2.0,0.8,1.7,3.2,3.7,0.7,1.6,2.0,109.4,29.0,57.0,5.6,5,0,0,False,False,False,True,4.0
29,6.4,2.2,1.2,0.5,2.6,4.5,4.1,0.6,1.5,0.1,128.6,12.4,42.0,1.0,10,0,1,False,True,True,False,3.0
59,4.7,2.9,2.1,0.0,0.7,2.1,2.9,1.4,2.4,4.3,162.9,32.8,73.0,8.0,3,0,1,False,False,False,True,5.0
15,5.8,1.3,1.4,0.7,1.8,4.5,4.1,0.4,1.3,0.0,67.0,11.9,48.0,1.0,10,0,0,True,False,True,False,4.0
39,2.8,1.9,0.6,1.2,0.1,0.9,1.5,2.8,3.0,4.0,86.9,16.5,88.0,8.8,1,0,1,True,False,False,True,5.0
21,7.5,3.2,1.4,0.1,2.4,4.5,4.3,1.0,0.9,1.3,120.9,12.5,46.0,1.0,9,0,0,False,False,False,True,3.0
23,9.4,1.9,2.9,1.5,2.7,4.5,3.9,1.6,0.7,1.5,192.7,10.7,56.0,1.5,9,1,0,True,False,True,False,3.0
38,7.6,3.0,2.1,1.1,2.4,4.5,4.1,1.9,1.1,0.9,103.9,15.4,64.0,2.0,8,0,0,False,False,True,False,4.0
15,9.1,2.3,2.3,0.9,2.4,4.5,3.7,0.9,1.9,0.8,242.6,12.0,52.0,1.0,10,1,0,False,True,True,False,3.0
58,3.1,1.1,1.5,0.0,1.3,2.1,2.9,1.9,2.0,5.7,159.9,35.1,73.0,7.2,3,1,0,True,False,True,False,3.0
22,5.1,2.0,0.0,0.8,1.7,4.4,3.9,1.7,1.1,2.0,126.4,8.7,48.0,3.8,8,0,1,False,False,False,True,4.0
38,4.5,2.9,0.2,0.8,1.3,3.8,4.1,2.2,1.4,2.0,185.7,25.3,67.0,4.0,6,1,0,False,False,False,True,5.0
25,6.1,2.6,1.2,0.6,1.4,4.5,3.4,1.8,1.0,2.8,154.8,16.6,62.0,2.2,8,1,0,False,False,False,True,4.0
65,3.2,2.0,0.3,1.1,0.7,1.7,2.7,2.4,2.8,3.0,197.1,26.5,77.0,9.8,2,0,1,False,True,False,False,4.0
31,2.7,0.3,0.9,0.4,1.7,0.9,1.0,2.6,2.4,4.9,60.7,25.4,93.0,10.0,1,0,1,False,False,False,True,5.0
22,3.8,0.4,0.9,0.4,1.8,2.8,3.4,1.7,2.7,3.4,128.5,26.8,60.0,6.9,4,1,1,False,True,False,True,5.0
49,3.2,0.6,0.9,0.2,2.4,2.1,3.4,2.1,1.9,8.8,155.4,20.1,85.0,8.8,3,0,0,False,False,True,False,5.0
49,5.3,1.5,3.1,0.3,1.8,2.3,2.5,2.2,2.6,5.3,170.9,29.1,82.0,6.1,3,0,0,True,False,False,False,4.0
47,4.7,1.7,1.4,0.5,2.3,1.9,2.1,1.8,3.2,4.0,196.7,32.2,83.0,10.0,2,1,1,True,False,False,True,4.0
73,3.4,0.7,2.5,0.5,0.7,1.4,2.5,3.0,1.9,2.6,244.2,17.7,75.0,9.0,2,1,1,False,False,True,False,5.0
19,8.4,2.9,1.7,0.5,2.8,4.5,3.6,1.6,1.0,0.6,228.7,11.2,51.0,3.3,8,1,0,True,False,False,True,3.0
56,5.4,0.9,3.1,1.2,1.2,3.0,3.9,2.1,2.1,4.0,147.6,16.2,78.0,6.7,4,1,0,False,False,False,True,4.0
53,3.9,0.8,2.6,1.5,0.0,3.1,3.6,0.5,1.7,3.7,173.0,26.2,70.0,4.2,5,0,1,False,False,False,True,5.0
72,2.8,2.1,0.8,0.0,1.0,0.9,1.3,1.9,2.6,4.5,60.9,17.5,86.0,7.2,1,1,1,True,False,True,False,5.0
55,9.1,2.9,3.7,1.5,2.0,4.5,4.0,1.3,1.3,1.3,104.6,5.7,47.0,1.0,10,0,1,False,False,False,False,4.0
42,6.3,3.8,1.0,1.0,1.5,3.1,3.6,1.5,0.8,3.5,155.6,15.7,63.0,4.4,5,1,1,False,False,False,True,4.0
21,4.6,2.5,1.7,0.1,0.0,4.5,4.2,1.4,1.2,0.9,180.4,12.0,61.0,1.3,8,1,1,False,False,True,False,5.0
23,7.9,3.4,1.9,0.4,1.6,4.5,3.7,0.6,1.2,0.1,112.4,9.3,46.0,1.0,10,0,0,True,False,False,False,4.0
22,5.3,0.9,2.0,0.8,1.5,4.5,3.9,0.8,1.1,0.0,152.8,11.8,45.0,1.0,10,0,0,True,False,False,True,3.0
26,7.3,3.9,2.4,0.0,0.4,4.5,4.0,2.2,0.8,2.2,155.7,10.0,52.0,1.0,9,0,0,True,False,False,True,3.0
48,2.6,0.3,0.7,0.5,2.0,0.6,1.2,1.5,2.7,3.8,165.2,38.4,80.0,7.5,1,0,1,False,False,False,True,5.0
47,5.3,1.5,2.3,0.9,1.3,4.5,3.6,0.8,0.6,0.0,123.8,15.7,44.0,1.0,9,0,1,True,False,False,True,4.0
62,4.0,2.5,2.1,0.2,0.0,0.7,1.4,2.2,2.9,5.6,257.1,25.0,85.0,8.2,1,1,0,False,False,False,True,5.0
69,3.2,0.6,1.5,0.0,2.1,3.5,3.7,2.0,1.4,0.0,124.5,24.7,61.0,3.9,6,0,0,True,False,True,False,5.0
37,3.6,1.2,1.3,0.7,1.6,2.4,2.9,2.6,2.1,6.4,178.0,30.4,77.0,7.5,3,1,1,True,False,False,False,5.0
38,5.4,1.0,0.6,1.9,2.9,3.9,4.2,1.4,0.8,2.5,151.4,22.7,63.0,5.8,6,0,1,False,False,False,True,4.0
51,3.6,1.7,2.0,0.2,0.5,3.1,3.8,1.8,1.8,3.7,196.2,25.3,73.0,3.6,5,1,1,False,False,False,False,3.0
49,4.3,3.3,0.8,0.2,1.2,1.4,2.2,2.2,2.0,4.3,173.3,19.2,67.0,9.2,2,0,0,True,False,False,False,4.0
58,5.8,2.0,1.8,0.5,2.5,3.5,3.6,2.0,1.0,2.2,203.4,12.3,52.0,4.6,5,0,0,True,False,False,False,3.0
54,3.5,1.6,1.4,1.5,0.5,1.1,2.2,2.6,3.7,4.3,124.0,29.6,81.0,5.9,2,1,0,True,False,False,True,4.0
36,1.4,0.2,0.0,0.0,2.4,1.3,2.2,2.4,2.5,7.5,127.9,28.1,79.0,7.0,2,1,1,False,False,True,False,3.0
41,5.3,2.4,0.5,1.1,2.5,2.9,3.2,0.7,1.2,3.1,83.5,25.6,67.0,6.7,4,1,1,False,False,False,True,4.0
49,6.0,2.7,1.9,0.3,1.7,3.1,3.6,1.3,1.6,1.9,192.4,19.5,71.0,5.1,5,0,0,True,False,True,False,4.0
15,3.7,0.5,0.9,0.4,1.2,2.7,3.2,1.5,1.8,3.4,91.2,13.4,76.0,4.1,4,1,0,True,False,False,True,5.0
49,2.7,1.9,0.9,0.0,0.8,2.9,3.4,1.4,1.2,2.3,73.7,26.2,66.0,5.3,5,0,0,True,False,True,False,5.0
51,3.5,2.2,0.7,0.5,0.7,0.9,0.9,2.6,2.9,4.9,154.8,41.1,86.0,7.9,1,1,1,False,False,False,True,5.0
61,4.6,2.9,0.7,0.0,1.7,4.0,3.9,1.5,1.1,0.0,110.9,19.8,51.0,2.4,7,1,1,False,True,True,False,4.0
28,5.2,1.3,3.3,0.3,0.0,4.2,3.9,1.5,0.6,2.9,151.1,14.4,57.0,2.7,7,1,1,True,False,False,True,5.0
17,3.6,1.2,0.3,0.0,0.8,4.5,3.8,2.0,1.1,0.0,158.2,17.5,56.0,2.1,8,0,0,False,False,False,True,5.0
15,6.4,1.6,3.1,0.0,0.7,4.5,4.1,0.6,0.9,0.8,145.9,8.2,51.0,1.7,9,0,1,True,False,True,False,4.0
19,6.4,3.2,1.1,0.8,0.4,3.9,3.4,1.1,1.2,3.1,119.7,26.8,65.0,4.3,6,1,1,True,False,False,True,4.0
40,5.7,2.9,0.8,1.4,1.6,2.8,3.0,1.5,1.7,4.6,73.8,26.5,68.0,7.0,4,1,0,False,False,False,True,4.0
69,5.5,2.0,1.9,2.5,0.0,2.3,3.0,1.7,1.9,3.5,202.8,28.2,76.0,7.4,3,0,1,False,False,False,True,5.0
28,8.3,2.9,1.6,1.2,2.6,4.2,4.0,1.8,1.2,1.6,154.4,12.7,55.0,2.2,8,0,0,False,False,False,True,3.0
53,3.5,0.2,1.3,0.3,2.3,2.8,3.3,1.3,1.8,1.7,186.2,28.3,70.0,5.6,4,0,0,False,False,False,True,5.0
41,6.3,2.7,1.7,0.0,2.8,4.0,4.0,1.4,0.6,0.0,132.1,20.8,48.0,2.3,7,0,1,True,False,False,False,3.0
23,4.6,1.0,1.5,0.9,0.9,3.8,3.9,1.8,1.4,1.1,118.5,20.0,55.0,5.2,6,0,0,False,False,False,False,4.0
29,6.4,3.6,1.3,0.0,1.6,4.4,4.3,1.9,1.3,1.1,45.2,20.7,64.0,1.4,8,0,0,True,False,False,True,4.0
29,5.7,1.0,2.5,0.1,2.2,4.3,3.7,1.6,0.1,0.0,89.5,16.5,45.0,4.8,7,0,0,False,False,True,False,3.0
40,2.4,1.2,0.0,1.1,1.3,4.1,3.8,1.6,0.0,0.9,136.0,12.2,59.0,3.0,8,0,1,True,False,True,False,4.0
